"Reference","Value","Qty","DNP","LCSC","Comment","Price(10)"
"C1,C2,C3,C13,C15,C16,C17","4.7uF","7","","C23733","Samsung Electro-Mechanics CL05A475MP5NRNC","$0.0048"
"C4,C5,C6,C7,C8,C9,C10,C11,C12","0.1uF","9","","C1525","Samsung Electro-Mechanics CL05B104KO5NNNC","$0.0011"
"C18,C19","15pF","2","","C1548","FH (Guangdong Fenghua Advanced Tech) 0402CG150J500NT","$0.0010"
"D1","LED_Small","1","","C2286","Hubei KENTO Elec KT-0603R","$0.0056"
"L1","3.3u","1","","C42411119","Abracon LLC AOTA-B201610S3R3-101-T","$0.2736"
"R1,R2,R5,R6","1K","4","","C11702","UNI-ROYAL(Uniroyal Elec) 0402WGF1001TCE","$0.0005"
"R3","10K","1","","C25744","UNI-ROYAL(Uniroyal Elec) 0402WGF1002TCE","$0.0005"
"R4","33R","1","","C25105","UNI-ROYAL(Uniroyal Elec) 0402WGF330JTCE","$0.0006"
"U1","RP2350_60QFN","1","","C42411118","Raspberry Pi RP2350A","$1.4430"
"U3","AP2112K-3.3","1","","C51118","Diodes Incorporated AP2112K-3.3TRG1","$0.1059"
"U5","W25Q16JVSS","1","","C2843335","Winbond Elec W25Q16JVUXIQ","$0.5220"
"Y1","Crystal_GND24","1","","C20625731","Abracon LLC ABM8-272-T3","$0.4200"
