Reference,Value,Package,Mid X,Mid Y,Rotation,Side
"C1","4.7uF","C_0402_1005Metric",104.597200,-37.084000,180.000000,top
"C2","4.7uF","C_0402_1005Metric",104.978200,-42.138600,180.000000,top
"C3","4.7uF","C_0402_1005Metric",108.661200,-53.289200,-90.000000,top
"C4","0.1uF","C_0402_1005Metric",115.443000,-46.278800,90.000000,top
"C5","0.1uF","C_0402_1005Metric",103.098600,-46.532800,-90.000000,top
"C6","0.1uF","C_0402_1005Metric",115.443000,-48.130400,-90.000000,top
"C7","0.1uF","C_0402_1005Metric",107.213400,-52.578000,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",112.471200,-51.917600,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",102.997000,-51.435000,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",104.521000,-43.535600,90.000000,top
"C11","0.1uF","C_0402_1005Metric",109.372400,-42.214800,0.000000,top
"C12","0.1uF","C_0402_1005Metric",113.817400,-43.053000,90.000000,top
"C13","4.7uF","C_0402_1005Metric",105.511600,-57.353200,0.000000,top
"C15","4.7uF","C_0402_1005Metric",114.147600,-41.224200,-90.000000,top
"C16","4.7uF","C_0402_1005Metric_small_pads",111.963200,-41.706800,0.000000,top
"C17","4.7uF","C_0402_1005Metric_small_pads",111.963200,-40.767000,0.000000,top
"C18","15pF","C_0402_1005Metric",107.213400,-54.432200,90.000000,top
"C19","15pF","C_0402_1005Metric",103.632000,-56.388000,180.000000,top
"D1","LED_Small","LED_0603_1608Metric",104.140000,-59.309000,90.000000,top
"L1","3.3u","L_pol_2016",111.963200,-39.090600,180.000000,top
"R1","1K","R_0402_1005Metric",111.150400,-54.864000,0.000000,top
"R2","1K","R_0402_1005Metric",114.935000,-54.864000,0.000000,top
"R3","10K","R_0402_1005Metric",113.055400,-54.864000,0.000000,top
"R4","33R","R_0402_1005Metric",114.147600,-39.344600,90.000000,top
"R5","1K","R_0402_1005Metric",103.632000,-57.353200,180.000000,top
"R6","1K","R_0402_1005Metric",105.511600,-56.388000,180.000000,top
"U1","RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",109.220000,-46.846100,0.000000,top
"U3","AP2112K-3.3","SOT-23-5",105.130600,-39.598600,180.000000,top
"U5","W25Q16JVSS","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",109.074300,-38.744500,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",104.640200,-54.139200,180.000000,top
